CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00," 14,100", 0.10, 0.15," 3,375", -4.75,"

 0.15
",-," 1,601"," -8,250"," 76,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 2,035.05"," 2,483.30"," 4,950",9700.00," 12,750", 0.10, 0.20, 525, -5.75,"

 0.20
",-, 785, -450," 34,350",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,340.25"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 2,775", 0.20, 0.30, 750, -7.60,"

 0.20
",-," 1,173"," -11,550"," 30,825",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 1,125", 0.20, 0.25," 3,300", -9.45,"

 0.15
",-," 1,556"," -34,875"," 63,675",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 1,200", 0.20, 0.30, 150, -4.70,"

 0.30
",-," 11,424"," 19,725"," 20,025",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,753.95"," 2,199.80"," 4,950",10000.00," 6,150", 0.25, 0.30," 5,100", -11.25,"

 0.30
",-," 9,100"," -106,125"," 394,125",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 18,000", 0.05, 0.25, 75, -0.15,"

 0.30
",-, 235," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,652.55"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 66,675",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00,-,-, 0.10," 4,500", -0.50,"

 0.35
",-, 60,-,-,
, 525,-, 8,-,"
 1,631.00
", 54.00, 75," 1,637.85"," 1,665.15", 75,10200.00, 375, 0.25, 0.35," 1,275", -14.55,"

 0.25
",-," 2,538"," -15,975"," 94,500",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,806.50"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,457.45"," 1,899.80"," 4,950",10300.00, 675, 0.20, 0.30, 450, -16.25,"

 0.30
",-," 1,151"," -16,275"," 52,950",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,330.00"," 1,731.20"," 4,950",10350.00, 750, 0.25, 0.90," 1,500", -2.75,"

 0.30
",-, 33," 1,200"," 1,275",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,350.75"," 1,799.80"," 4,950",10400.00, 75, 0.50, 0.70, 450, -19.50,"

 0.55
",-," 3,048"," -9,900"," 78,075",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,293.55"," 1,602.45"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,203.00"," 1,699.80"," 4,950",10500.00, 375, 0.45, 0.55, 225, -22.50,"

 0.55
",-," 17,694"," -178,200"," 658,500",
, 750,-, 5,-,"
 1,299.25
", 99.25, 75," 1,287.60"," 1,320.80", 75,10550.00," 3,750", 0.20, 1.00," 1,575", -6.55,"

 0.15
",-, 43,-,-,
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,204.40"," 1,276.30"," 4,950",10600.00, 75, 0.45, 0.75, 150, -24.35,"

 0.55
",-," 4,626"," -41,175"," 112,425",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,145.45"," 1,225.15"," 4,950",10650.00,-,-, 10.00," 12,525",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
