CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00," 7,800", 0.10, 0.25," 5,700", -4.80,"

 0.10
",-," 1,696"," -12,975"," 71,850",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,901.40"," 2,399.80"," 4,950",9700.00," 11,475", 0.10, 0.25," 1,050", -5.80,"

 0.15
",-, 814," -1,125"," 33,675",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,844.80"," 2,403.60"," 4,950",9750.00,-,-, 0.55," 4,575", -4.80,"

 1.80
",-, 3,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,299.80"," 4,950",9800.00, 525, 0.15, 0.25," 4,125", -7.55,"

 0.25
",-," 1,256"," -11,850"," 30,525",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,199.90"," 2,025",9900.00," 6,600", 0.05, 0.25," 3,000", -9.55,"

 0.05
",-," 1,768"," -45,000"," 53,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,668.00"," 2,178.65"," 4,950",9950.00," 3,300", 0.20, 0.35, 150, -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,601.40"," 2,099.80"," 4,950",10000.00," 1,575", 0.20, 0.25," 3,600", -11.35,"

 0.20
",-," 9,632"," -128,925"," 371,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,579.30"," 2,067.20"," 4,950",10050.00," 5,100", 0.05, 0.75, 75, -0.20,"

 0.25
",-, 242," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,501.60"," 1,999.80"," 4,950",10100.00,-,-, 10.70," 60,975",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,491.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,634.40"," 1,666.65", 75,10200.00," 3,675", 0.15, 0.20, 900, -14.60,"

 0.20
",-," 2,940"," -27,075"," 83,400",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,449.05"," 1,799.80"," 4,950",10300.00," 1,575", 0.10, 0.20, 150, -16.40,"

 0.15
",-," 1,259"," -18,225"," 51,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,314.60"," 1,712.40"," 4,950",10350.00," 4,500", 0.10, 0.85, 150, -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,201.10"," 1,699.80"," 4,950",10400.00, 225, 0.25, 0.30, 825, -19.75,"

 0.30
",-," 3,231"," -12,600"," 75,375",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,243.10"," 1,558.15"," 4,950",10450.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,099.20"," 1,599.80"," 4,950",10500.00, 150, 0.35, 0.40," 2,100", -22.65,"

 0.40
",-," 18,932"," -216,075"," 620,625",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,276.20"," 1,320.90", 75,10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,214.35"," 1,278.20"," 4,950",10600.00," 5,925", 0.25, 0.35, 975, -24.55,"

 0.35
",-," 4,922"," -39,750"," 113,850",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,164.35"," 1,228.15"," 4,950",10650.00,-,-, 10.00," 12,525",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 150, -75, 3,-,"
 1,139.60
", 122.35, 75," 1,126.45"," 1,170.35", 75,10700.00," 1,275", 0.35, 0.40, 300, -28.60,"

 0.35
",-," 11,874"," -89,775"," 171,150",
, 150,-,-,-,"
							
							-
							
							",-," 4,950"," 1,064.00"," 1,127.80"," 4,950",10750.00, 375, 0.35, 1.00," 1,500", -32.40,"

 0.10
",-, 36, -600," 1,650",
," 1,500", -150, 8,-,"
 1,120.55
", 105.50, 75," 1,033.15"," 1,064.85", 75,10800.00, 825, 0.35, 0.45, 75, -33.75,"

 0.50
",-," 15,980"," -8,175"," 281,700",
,-,-,-,-,"
							
							-
							
							",-," 4,950", 963.45," 1,027.20"," 4,950",10850.00, 825, 0.20, 0.90, 75, -36.50,"

 0.55
",-, 171, 75," 8,100",
, 600, -150, 5,-,"
 920.90
", 1.90, 75, 926.35, 965.30, 75,10900.00," 4,125", 0.25, 0.35, 750, -40.15,"

 0.25
",-," 12,900"," -57,825"," 112,275",
, 150,-, 1,-,"
 1,010.65
", 239.55, 75, 878.15, 916.45, 75,10950.00, 150, 0.15, 1.00, 75, -43.15,"

 0.20
",-, 225," -1,875"," 9,150",
," 5,775"," -3,450", 236,-,"
 856.50
", 40.00, 225, 838.10, 864.45, 75,11000.00," 4,725", 0.40, 0.45," 1,125", -47.80,"

 0.40
",-," 71,682"," -147,225"," 916,800",
, 600, -825, 26,-,"
 816.70
", 37.05, 75, 779.25, 823.35, 225,11050.00, 825, 0.40, 0.75, 150, -52.00,"

 0.40
",-, 713," 1,050"," 13,125",
," 2,850"," -3,600", 142,-,"
 737.95
", 17.45, 75, 729.25, 743.90, 75,11100.00," 3,300", 0.40, 0.50, 225, -55.45,"

 0.55
",-," 24,888"," -54,150"," 165,300",
