CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.25"," 4,950",9650.00," 8,400", 0.10, 0.25," 4,575", -4.80,"

 0.10
",-," 1,686"," -12,525"," 72,300",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,443.35"," 2,483.30"," 4,950",9700.00," 13,425", 0.10, 0.15," 3,600", -5.85,"

 0.10
",-, 803," -1,125"," 33,675",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,430.85"," 2,403.60"," 4,950",9750.00,-,-, 1.80," 4,650", -3.80,"

 2.80
",-, 2,-," 2,250",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,399.80"," 4,950",9800.00," 6,900", 0.15, 0.25," 4,500", -7.65,"

 0.15
",-," 1,235"," -11,700"," 30,675",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.25"," 4,950",9850.00,-,-, 4.20," 5,175", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,235.05"," 4,950",9900.00," 4,575", 0.15, 0.25," 3,000", -9.45,"

 0.15
",-," 1,656"," -39,975"," 58,575",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,682.60"," 2,178.65"," 4,950",9950.00," 3,300", 0.20, 0.35, 150, -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,180.35"," 2,199.80"," 4,950",10000.00," 5,925", 0.20, 0.25," 1,800", -11.35,"

 0.20
",-," 9,355"," -115,350"," 384,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,595.05"," 2,067.20"," 4,950",10050.00," 4,500", 0.10, 0.75, 75, -0.20,"

 0.25
",-, 242," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 1,200"," 1,118.65"," 2,099.80"," 4,950",10100.00,-,-, 10.70," 61,650",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,551.30"," 1,950.25"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55, 75," 1,631.30"," 1,663.85", 75,10200.00, 975, 0.30, 0.35," 1,725", -14.50,"

 0.30
",-," 2,707"," -17,700"," 92,775",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,434.55"," 1,762.00"," 4,950",10250.00," 4,500", 0.10, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
