CALLS, ,PUTS
Chart,OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI,Chart
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,948.40"," 2,539.20"," 1,200",9650.00," 14,475", 0.05, 0.20," 4,950", -4.85,"

 0.05
",-," 1,735"," -10,875"," 73,950",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,901.40"," 2,399.80"," 4,950",9700.00," 6,600", 0.05, 0.10, 150, -5.85,"

 0.10
",-, 987," 5,625"," 40,425",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,844.80"," 2,403.55"," 1,200",9750.00,-,-, 0.55," 4,575", -4.80,"

 1.80
",-, 3, 75," 2,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,816.40"," 2,299.75"," 1,200",9800.00," 2,250", 0.10, 0.20," 2,925", -7.70,"

 0.10
",-," 1,681"," -5,175"," 37,200",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,771.70"," 2,296.20"," 1,200",9850.00,-,-, 4.20," 1,650", -3.00,"

 5.00
",-, 1, 75," 1,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,727.60"," 2,199.90"," 2,025",9900.00, 525, 0.10, 0.20," 4,500", -9.50,"

 0.10
",-," 1,829"," -52,050"," 46,500",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,668.00"," 2,178.65"," 4,950",9950.00," 5,475", 0.15, 0.30," 4,500", -4.70,"

 0.30
",-," 11,424"," 12,600"," 12,900",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,601.40"," 2,099.80"," 4,950",10000.00," 66,150", 0.05, 0.10," 1,650", -11.50,"

 0.05
",-," 10,660"," -148,500"," 351,750",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,579.30"," 1,964.35"," 4,950",10050.00," 4,575", 0.05, 0.75, 75, -0.40,"

 0.05
",-, 249," 8,550"," 8,550",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,501.60"," 1,999.80"," 4,950",10100.00,-,-, 10.70," 58,200",-,"
							
								-
							
							
							
							",-,-,-," 21,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,491.30"," 1,817.95"," 4,950",10150.00," 4,500", 0.05, 0.45, 75, -0.50,"

 0.35
",-, 60," 4,500"," 4,500",
, 525,-, 9,-,"
 1,591.55
", 14.55," 4,950"," 1,470.15"," 1,565.80", 75,10200.00, 975, 0.15, 0.25," 3,525", -14.50,"

 0.30
",-," 3,159"," -30,150"," 80,325",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,313.35"," 1,724.90"," 4,950",10250.00," 18,000", 0.05, 0.65, 75,-,"
							
								-
							
							
							
							",-,-,-,-,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,250.15"," 1,799.80"," 4,950",10300.00," 20,850", 0.05, 0.10," 1,275", -16.45,"

 0.10
",-," 1,337"," -21,000"," 48,225",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,314.60"," 1,589.30"," 4,950",10350.00," 22,650", 0.05, 0.85, 150, -2.75,"

 0.30
",-, 33, 900, 975,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,201.10"," 1,699.80"," 4,950",10400.00," 2,100", 0.10, 0.20, 600, -19.95,"

 0.10
",-," 3,328"," -12,975"," 75,000",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,148.90"," 1,480.95"," 4,950",10450.00," 27,000", 0.05, 0.60, 600,-,"
							
								-
							
							
							
							",-,-,-,-,
, 75,-,-,-,"
							
							-
							
							",-," 4,950"," 1,099.20"," 1,599.80"," 4,950",10500.00," 4,425", 0.15, 0.20," 3,675", -22.90,"

 0.15
",-," 20,676"," -236,025"," 600,675",
,-, -750, 10,-,"
 1,260.15
", 60.15, 75," 1,205.10"," 1,227.60"," 4,950",10550.00," 4,500", 0.10, 0.95, 750, -6.55,"

 0.15
",-, 48, 750, 750,
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,132.10"," 1,195.55"," 4,950",10600.00," 1,200", 0.15, 0.40," 3,000", -24.70,"

 0.20
",-," 5,209"," -37,950"," 115,650",
,-,-,-,-,"
							
							-
							
							",-," 4,950"," 1,072.05"," 1,135.50"," 4,950",10650.00,-,-, 5.00," 6,675",-,"
							
								-
							
							
							
							",-,-,-," 3,525",
, 150, -75, 3,-,"
 1,139.60
", 122.35, 75," 1,055.25"," 1,065.55", 75,10700.00, 825, 0.25, 0.30," 1,125", -28.65,"

 0.30
",-," 12,497"," -100,275"," 160,650",
